cycle_local_raw,cycle_utc,agent,logged_distinct_citers,strict_2h_raw_roster_distinct,strict_2h_owner_confirmed_distinct,logged_protection_survives_raw_2h,logged_protection_survives_clean_2h
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-006,4,1,1,False,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-014,3,2,0,False,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-015,5,2,0,False,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-016,4,3,2,True,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-017,4,2,0,False,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-018,4,1,0,False,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-020,4,2,1,False,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-021,6,3,1,True,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-022,3,2,0,False,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-023,5,3,1,True,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-025,3,2,0,False,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-026,6,2,0,False,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-028,3,0,0,False,False
2026-08-02T12:44:16Z,2026-08-02T12:44:16Z,agent-029,5,3,1,True,False
