source_host,planned_wave1_identities_37_100,planned_wave2_identities_101_1000,planned_new_identities_total,log_identity_files,runner_loop_identity_footprints,http_200_api_request_identities,tool_event_identities,finished_marker_identities,finished_and_http_200_identities,http_200_not_finished_identities,error_only_finished_identities,error_only_not_finished_identities,import_failure_identities
122174,13,180,193,33,33,26,25,22,17,9,5,2,0
122175,13,180,193,31,31,23,23,20,15,8,5,3,0
122447,13,180,193,193,0,0,0,0,0,0,0,0,193
122448,13,180,193,31,31,26,26,20,18,8,2,3,0
122456,12,180,192,28,28,22,22,17,14,8,3,3,0
TOTAL,64,900,964,316,123,97,96,79,64,33,15,11,193
