host,pid,captured_utc,context_index,agent_id,client_class,model,history_field,history_count,system_count,user_count,assistant_count,tool_count,typed_item_count,direct_string_content_chars,history_sha256,history_sha256_recomputed,recovery_method,file_bytes,file_sha256,path
122175,104838,2026-08-03T14:32:42.418921+00:00,0,agent-068,AnthropicAgent,es1_orange_o50,messages,1351,0,682,669,0,0,128376,e7ab9739b5c3c74d653f739df45d8fea2804868b297130581e19dc200b3282f0,e7ab9739b5c3c74d653f739df45d8fea2804868b297130581e19dc200b3282f0,live_process_sanitized_export,2368280,99c9b0c65b4acf6ee8157830a6e920df2e65da414495acf565e1437d1b0265c3,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_104838.json
122175,109151,2026-08-03T14:32:42.919618+00:00,0,agent-0197,OpenAIAgent,ep-20260702161005-jcdtr,messages,93,1,92,0,0,0,104125,38243db081f273d2ac65189415435da244deef0895f9d733728839ee557c23df,38243db081f273d2ac65189415435da244deef0895f9d733728839ee557c23df,live_process_sanitized_export,111894,cd389b6cc38db78e1cd11288f3cc9f91187aa6dce8d132549e97bf82eda5ad9a,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_109151.json
122175,112126,2026-08-03T14:32:43.325075+00:00,0,agent-0207,OpenAIAgent,ep-20260802152152-sklbd,messages,69,1,68,0,0,0,77183,1a1d9b254b05d8eee024f43613f54f47018855ab7ae9239f67808ee8b3f1d71c,1a1d9b254b05d8eee024f43613f54f47018855ab7ae9239f67808ee8b3f1d71c,live_process_sanitized_export,83211,64d46b65ebceea78a8d91f37aff11fb3b1e1c1680933a6a07d61b0f1ec49c290,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_112126.json
122175,112812,2026-08-03T14:32:43.788685+00:00,0,agent-0212,AnthropicAgent,es1_orange_o50,messages,881,0,446,435,0,0,220211,bd93e2a7a2f08d308d78dea79493696140da4f6e68805708cb7e7abe73475f4f,bd93e2a7a2f08d308d78dea79493696140da4f6e68805708cb7e7abe73475f4f,live_process_sanitized_export,1984663,d1ef80979f22b67edfd0ef8797ce158b6d4454339b7e6b89ef1107e3ec28176b,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_112812.json
122175,117744,2026-08-03T14:32:44.315183+00:00,0,agent-0217,OpenAIAgent,ep-20260802152152-sklbd,messages,246,1,28,97,120,0,433905,907fcc339f1be9db9c384495c1b8a6a70d78a018894fd7b0c62314e8ee7cc9ab,907fcc339f1be9db9c384495c1b8a6a70d78a018894fd7b0c62314e8ee7cc9ab,live_process_sanitized_export,878260,8afd05692a970dcf2e4a439d6f3c9b23393733151ba3cf8da7f20bc2e48df1c1,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_117744.json
122175,125474,2026-08-03T14:32:44.719645+00:00,0,agent-078,AnthropicAgent,es1_orange_o50,messages,206,0,109,97,0,0,12646,e3115c1b65c5a3a6a36003494041b5a334b7f1602062043ed8eef28bcd09ad1b,e3115c1b65c5a3a6a36003494041b5a334b7f1602062043ed8eef28bcd09ad1b,live_process_sanitized_export,445521,d0e8b92dafbb07b6a2d596efd8c1c69dd9a212303bf754207bb8389d88453a1f,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_125474.json
122175,125653,2026-08-03T14:32:45.127541+00:00,0,agent-078,AnthropicAgent,es1_orange_o50,messages,171,0,91,80,0,0,11526,05ac7013d5b1a2098fc918da23b684564f0618b7177abffc0e71dcb09e9880d8,05ac7013d5b1a2098fc918da23b684564f0618b7177abffc0e71dcb09e9880d8,live_process_sanitized_export,421600,318d4c6bd301061ab3cb2186e85486d70776c9e149f72a6287ceba609a679c84,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_125653.json
122175,125869,2026-08-03T14:32:45.520438+00:00,0,agent-078,AnthropicAgent,es1_orange_o50,messages,204,0,108,96,0,0,12647,8686299f1cda3fe1245f20e8cddb253e8673a6c321487d2962b611e63ca4860d,8686299f1cda3fe1245f20e8cddb253e8673a6c321487d2962b611e63ca4860d,live_process_sanitized_export,442573,4f4b2b0b046ac081bf97ce8da7789f5070df227c4712b5aa438a67756dcbd847,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_125869.json
122175,126355,2026-08-03T14:32:45.977831+00:00,0,agent-0222,AnthropicAgent,es1_orange_o50,messages,149,0,80,69,0,0,11533,180b45e1f4bdb036f5ef0652cf8f21bd46fc0e30767e4917358b52aef6078490,180b45e1f4bdb036f5ef0652cf8f21bd46fc0e30767e4917358b52aef6078490,live_process_sanitized_export,459361,4cac89dccb19f6aa4cd58f340129a60db5b31ab95a412837fb9dbedc9dc8df3f,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_126355.json
122175,128022,2026-08-03T14:32:46.327263+00:00,0,agent-0227,AzureResponsesAgent,gpt-5.6-sol,input_items,344,0,67,66,0,277,74300,acfacc97819650cede6f99ced32670760e7f282e716bc13f4230f2c6b5842623,acfacc97819650cede6f99ced32670760e7f282e716bc13f4230f2c6b5842623,live_process_sanitized_export,434157,c92392b2f75421ea8a44ae78904a25544e393b0c3724d4c4d6668a30fee0b3d6,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122175/pid_128022.json
